time,longitude,latitude,altitude_2,speed_2,time_2,music_2,conversation_2
1446062905,-86.7815397,36.1628901,161,0.8,1560,1,H: looks like the next stops are at the intersection of.. fifth turn /A: so that way/H: * fifth and church yea/J: fifth and church still?/H: * so take a left yea/H: down by pucketts restaurant/A: wait a second/J: pucketts is really good/H: and I guess there's a picture of what that intersection used to look like/J: of what? that the/H: intersection of church and fifth up here/J: that maybe that was the area like remember when we looked at the pictures in class/H: yea the ones that were on the stand/J: yea.. that could have been that area not that we ever found anything out about that we just made our own stories up/A: yea
1446062910,-86.7815474,36.1628675,161,1.1,1565,1,
1446062915,-86.7815429,36.1628289,162,0.8,1570,1,
1446062920,-86.7815392,36.1627804,164,0.6,1575,1,
1446062925,-86.7815336,36.1627439,161,0.6,1580,1,
1446062930,-86.7815354,36.1627144,161,0.2,1585,1,
1446062935,-86.7815304,36.1627029,162,0,1590,1,
1446062940,-86.781503,36.1626955,160,0.2,1595,1,
1446062945,-86.7815037,36.1626893,160,0,1600,0,
1446062950,-86.7815037,36.1626893,161,0,1605,0,
1446062955,-86.7815037,36.1626893,161,0,1610,0,
1446062960,-86.7814798,36.1626874,160,0.6,1615,0,
1446062965,-86.7814199,36.1626859,158,0.8,1620,0,H: we can switch back if you/M: yea no just stay on that one yea/H: man this is a bummer/M: yea/A: I feel so rude/J: * playing music/A: * playing music/J: just smile extra big at people/H: here's like something we can actually locate/J: uh school project it's a camera yea/J: we're like zoo animals the music isn't helping/H: yea I know/A: we're drawing attention to ourselves/H: the fact that they're attached to cds just looks funny/H: so there's a marker for fifth avenue of the arts up here on the left
1446062970,-86.78134,36.1626971,160,0.9,1625,1,
1446062975,-86.7813023,36.162709,160,1.4,1630,1,
1446062980,-86.781259,36.1627196,161,0.9,1635,1,
1446062990,-86.7811403,36.1627989,158,1.2,1645,1,
1446062995,-86.7810963,36.1628567,157,0.8,1650,1,
1446063000,-86.7810364,36.1628805,156,1.3,1655,1,
1446063005,-86.7809776,36.1629111,156,1.4,1660,1,
1446063010,-86.7809233,36.1629491,155,1.1,1665,1,
1446063015,-86.7808671,36.1629843,155,1.2,1670,1,
1446063020,-86.7808173,36.1629919,156,1,1675,1,
1446063025,-86.7807583,36.1630058,156,1,1680,1,A: this next one is billy holliday/H: alright/H: so this so this place has good food pucketts/J: hmhm really good and live music /H: good man that smells amazing/J: real southern/J: so did you just move to Nashville/A: * that's the church I was talking about and the car that andrew jackson went to/H: * in july there we go here's a plaque/J: that's the what?/A: the church andrew jackson went to/J: oh cool/A: it's built in the EGYPTIAN style/J: I don't know if that's cool andrew jackson/J: (inaudble) anyone/H: yea
1446063030,-86.7807237,36.1630158,156,1.1,1685,1,
1446063035,-86.7806567,36.1630462,156,1,1690,1,
