time,longitude,latitude,altitude_1,speed_1
1441138485,-86.8146335,36.1685389,137,0.7
1441138490,-86.8145924,36.168535,137,0.9
1441138495,-86.8145338,36.1685747,137,1.2
1441138500,-86.8144536,36.1686214,137,0.9
1441138505,-86.8144148,36.1686166,136,0.6
1441138510,-86.8144152,36.1685886,136,0.6
1441138515,-86.8143706,36.1686163,136,0.3
1441138520,-86.814309,36.1686378,137,0.9
1441138525,-86.8142552,36.1686298,137,0.8
1441138530,-86.8141687,36.1686373,136,0.8
1441138540,-86.8140468,36.1686186,136,0
1441138545,-86.8140566,36.1686071,136,0.2
1441138550,-86.8140634,36.1686046,136,0
1441138555,-86.8140658,36.1685577,136,0
1441138560,-86.8140658,36.1685577,135,0
1441138565,-86.8140758,36.1685327,136,0
1441138570,-86.8140888,36.1684874,135,0
1441138575,-86.814098,36.1684962,135,0
1441138580,-86.8141042,36.1685121,136,0.6
1441138585,-86.8140966,36.1685348,136,0
1441138590,-86.8140993,36.1685876,136,0
1441138595,-86.8140951,36.1686077,136,0.7
1441138600,-86.8140698,36.168637,136,0.4
1441138605,-86.8140696,36.1686469,136,0
1441138610,-86.8140858,36.1686604,136,0
1441138615,-86.8140678,36.1686605,135,0
1441138620,-86.8140427,36.1686491,136,0
1441138625,-86.8140316,36.1686756,135,0.5
1441138630,-86.8140233,36.1686986,135,0.4
1441138635,-86.8140678,36.1686499,134,0.4
1441138640,-86.8140929,36.1686644,134,0.3
1441138645,-86.8140842,36.1686759,134,0.5
1441138650,-86.8140973,36.1686787,134,0.6
1441138655,-86.8141282,36.1686719,134,0.4
1441138660,-86.8141962,36.1686201,134,0.6
1441138665,-86.8142119,36.1686795,133,0.3
1441138670,-86.8142035,36.1686877,132,0.5
1441138675,-86.8142208,36.1687186,133,0
1441138680,-86.8142262,36.1687841,133,0.4
1441138685,-86.8142148,36.1687809,134,0
1441138690,-86.8142154,36.1687656,133,0
1441138695,-86.8142413,36.1687619,133,1
1441138710,-86.8141299,36.1685884,135,1
1441138715,-86.8141089,36.1686681,135,0.8
1441138720,-86.8140837,36.168706,135,0
